Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1740007042.3819041,34.018671875,14852,100,0,0,0,153,43,6,0,0,0
1740007043.3930118,23.4473828125,7991,52.259517604662165,0,0,0,153,43,6,0,0,0
1740007044.403703,23.4883984375,12949,52.16775843299699,0,0,0,147,45,5,0,0,0
1740007045.4143786,23.5360546875,16894,52.06477257198446,0,0,0,147,45,5,0,0,0
1740007046.4251266,23.5821484375,19901,51.94950427438184,0,0,0,147,45,5,0,0,0
1740007047.4369602,23.62453125,22622,51.845932070349434,3,3,3,987,196,6,0,0,0
1740007048.4476008,23.6637890625,24851,51.76017250448179,3,3,3,981,194,11,0,0,0
1740007049.458255,23.696796875,26832,51.75235866782202,3,4,4,1221,232,12,0,0,0
1740007050.468948,23.7258984375,28466,51.756151084394716,6,7,7,1983,425,15,0,0,0
1740007051.479629,23.74796875,30138,51.7529703265551,6,7,7,1995,429,15,0,0,0
1740007052.490316,23.76359375,31587,51.71866446749452,6,7,7,1983,427,16,0,0,0
1740007053.502195,23.7735546875,33207,51.61097497171564,6,8,8,1989,429,17,0,0,0
1740007054.5139308,23.785859375,34458,51.55810513030089,5,7,7,1968,424,15,0,0,0
1740007055.5250444,23.7925,35505,51.55291715706616,5,7,7,1989,429,17,1,0,0
1740007056.5368645,23.79953125,36777,51.53567810059644,5,8,8,2022,440,22,2,0,0
1740007057.548716,23.802265625,38075,51.48763336609343,3,6,6,1203,296,26,2,0,0
1740007058.5605686,23.79796875,39211,51.39635999560896,3,5,5,1203,294,22,2,0,0
1740007059.5723996,23.7899609375,40108,51.27443924244023,2,5,5,984,259,22,2,0,0
1740007060.584263,23.7825390625,40967,51.20702815149056,2,5,5,984,259,22,2,0,0
1740007061.5961263,23.77765625,42073,51.17620027806436,2,5,5,984,259,22,2,0,0
1740007062.6079407,23.7692578125,43152,51.17511469605544,0,1,1,222,66,19,2,0,0
1740007063.6197882,23.7575390625,43918,51.08304433844427,0,1,1,222,66,19,2,0,0
1740007064.6311815,23.740546875,44807,50.9722473270008,0,1,1,222,66,19,2,0,0
1740007065.6427507,23.720234375,45633,50.81890470279338,0,1,1,222,66,19,2,0,0
1740007066.6545258,23.69875,46904,50.67157025672885,0,1,1,222,66,19,2,0,0
1740007067.6664157,23.68078125,47486,50.50676418299503,0,1,1,222,66,19,2,0,0
1740007068.6781948,23.660859375,48612,50.32383603731695,0,2,2,222,66,18,2,0,0
1740007069.6900637,23.64328125,49210,50.15340710116364,0,2,2,222,66,18,2,0,0
1740007070.7019897,23.623359375,50239,49.97685117635935,0,2,2,222,66,18,2,0,0
1740007071.7138047,23.6055859375,50633,49.79475657796543,0,2,2,234,70,17,2,0,0
1740007072.7249389,23.592109375,51407,49.649312881375124,0,2,2,234,70,17,2,0,0
1740007073.7367158,23.5794140625,52433,49.52203655884356,0,2,2,234,70,17,2,0,0
1740007074.7488897,23.567109375,52928,49.418817788830154,0,2,2,267,77,16,2,0,0
1740007075.7607388,23.555,53535,49.303735771905764,0,2,2,267,77,16,2,0,0
1740007076.7724843,23.545234375,54225,49.20693876211911,0,2,2,267,77,16,2,0,0
1740007077.784013,23.5395703125,54720,49.15846311073669,0,2,2,258,76,13,1,0,0
1740007078.7960238,23.534296875,55441,49.1697440571223,0,2,2,258,76,13,1,0,0
1740007079.8077865,23.5278515625,56182,49.21670685774559,0,2,2,258,76,13,1,0,0
1740007080.819549,23.520625,56713,49.245664052816366,0,1,1,237,67,8,0,0,0
1740007081.8313298,23.5159375,57450,49.25702309656207,0,1,1,237,67,8,0,0,0
1740007082.8431067,23.5118359375,57805,49.25650950480574,0,1,1,237,67,8,0,0,0
1740007083.8548825,23.5087109375,58611,49.28001210503696,0,1,1,231,63,3,0,0,0
1740007084.8661427,23.501484375,59023,49.28508083342399,0,1,1,231,63,3,0,0,0
1740007085.8779862,23.495625,59949,49.23058971983865,0,1,1,231,63,3,0,0,0
1740007086.8897476,23.491328125,60466,49.188252355414335,0,1,1,225,59,2,0,0,0
1740007087.9003742,23.485859375,60948,49.115935424048786,0,1,1,225,59,2,0,0,0
1740007088.9110172,23.4801953125,61438,49.06152259298191,0,1,1,225,59,2,0,0,0
1740007089.9216473,23.4758984375,62257,49.00729760802872,1,1,1,264,72,4,0,0,0
1740007090.932263,23.471796875,62957,48.94715144435069,1,1,1,264,72,4,0,0,0
1740007091.9429266,23.4684765625,63624,48.89308395737978,1,1,1,264,72,4,0,0,0
1740007092.954476,23.456171875,63866,48.843875057982565,1,1,1,285,78,5,0,0,0
1740007093.9660587,23.4380078125,64453,48.75821450223974,1,1,1,285,78,5,0,0,0
1740007094.977975,23.4173046875,64801,48.672284668366515,1,1,1,285,78,5,0,0,0
1740007095.9900827,23.3915234375,65254,48.591722654612525,1,1,1,288,79,5,0,0,0
1740007097.0018191,23.36046875,65764,48.50460443528693,1,1,1,288,79,5,0,0,0
1740007098.012132,23.3235546875,66126,48.446534443747936,1,1,1,288,79,5,0,0,0
1740007099.0227983,23.2784375,66651,48.38747909680967,1,1,1,282,75,5,0,0,0
1740007100.0336156,23.235859375,67453,48.34064496682474,1,1,1,282,75,5,0,0,0
1740007101.04429,23.1815625,68386,48.322083118769555,1,1,1,282,75,5,0,0,0
1740007102.0549595,23.0809765625,68665,48.37504731501606,1,1,1,288,75,5,0,0,0
1740007103.0668356,22.970234375,68890,48.26049686440991,1,1,1,288,75,5,0,0,0
1740007104.0785797,22.8690625,69117,48.27183153109009,1,1,1,288,75,5,0,0,0
1740007105.0897093,22.784296875,69863,48.326733558114924,1,1,1,261,70,8,0,0,0
1740007106.1014662,22.6891796875,70214,48.42194545687353,1,1,1,261,70,8,0,0,0
1740007107.1128824,22.599140625,70627,48.5118757675753,1,1,1,261,70,8,0,0,0
1740007108.1238732,22.52296875,71044,48.62137453006818,0,1,1,237,62,8,0,0,0
1740007109.1345222,22.43234375,71346,48.693466520536454,0,1,1,237,62,8,0,0,0
1740007110.145153,22.33,71528,48.758189759363304,0,1,1,237,62,8,0,0,0
1740007111.1557817,22.2450390625,71895,48.854815622604846,0,1,1,237,64,9,0,0,0
1740007112.1664512,22.1346875,72703,48.99002467390922,0,1,1,237,64,9,0,0,0
1740007113.1782978,22.0208203125,73019,49.04744645860748,0,1,1,237,64,9,0,0,0
1740007114.1900904,21.908125,73788,49.1705543756765,0,1,1,231,64,9,0,0,0
1740007115.200935,21.7883984375,73853,49.465819795533456,0,1,1,231,64,9,0,0,0
1740007116.2130365,21.6628125,73983,49.59352053428269,0,1,1,231,64,9,0,0,0
1740007117.2247734,21.540546875,74179,49.70377878428509,1,1,1,258,75,12,0,0,0
1740007118.2366514,21.4305859375,74442,49.93517576900188,1,1,1,258,75,12,0,0,0
1740007119.248577,21.3128125,74906,50.19578492035615,1,1,1,258,75,12,0,0,0
1740007120.260324,21.194453125,75647,50.42066627591735,0,1,1,225,68,9,0,0,0
1740007121.272164,21.0721875,75852,50.597285153440254,0,1,1,225,68,9,0,0,0
1740007122.2840703,20.9524609375,76196,50.76234887073554,0,1,1,225,68,9,0,0,0
1740007123.2954147,20.835078125,76543,50.921815382615705,0,1,1,210,60,8,0,0,0
1740007124.3073163,20.706171875,77034,51.24236732614876,0,1,1,210,60,8,0,0,0
1740007125.3184783,20.58,76963,51.52155799853289,0,1,1,210,60,8,0,0,0
1740007126.3300204,20.4690625,77317,51.821147448498905,0,1,1,201,51,7,0,0,0
1740007127.3415194,20.3739453125,77389,52.06877754098073,0,1,1,201,51,7,0,0,0
1740007128.3530304,20.289765625,78180,52.2817890057618,0,1,1,201,51,7,0,0,0
1740007129.364665,20.2075390625,78399,52.51343296920888,0,1,1,234,59,8,0,0,0
1740007130.3761961,20.1315625,78619,52.72794146883355,0,1,1,234,59,8,0,0,0
1740007131.3877788,20.0508984375,79063,52.86924219978705,0,1,1,234,59,8,0,0,0
1740007132.3995633,19.964765625,79738,53.07672891080017,0,1,1,216,55,8,0,0,0
1740007133.4113708,19.8833203125,79965,53.254621781948984,0,1,1,216,55,8,0,0,0
1740007134.4231331,19.8122265625,80194,53.275867180587575,0,1,1,216,55,8,0,0,0
1740007135.4349022,19.7399609375,80733,53.47943885270963,0,0,0,222,55,6,0,0,0
1740007136.4469302,19.6669140625,80811,53.66483156606684,0,0,0,222,55,6,0,0,0
1740007137.4586885,19.5958203125,81358,54.10076615756352,0,0,0,222,55,6,0,0,0
1740007138.472055,19.5137890625,81516,54.24277243087273,0,1,1,246,61,7,0,0,0
1740007139.4838653,19.44171875,81913,54.53293684690255,0,1,1,246,61,7,0,0,0
1740007140.4957252,19.3669140625,81993,54.755769290617806,0,1,1,246,61,7,0,0,0
1740007141.5075405,19.29171875,82476,54.892964411628455,0,0,0,240,57,6,0,0,0
1740007142.5193253,19.210859375,82801,55.17673831301481,0,0,0,240,57,6,0,0,0
1740007143.5311735,19.1262890625,82395,55.32524477027437,0,0,0,240,57,6,0,0,0
1740007144.542948,19.0442578125,83046,55.547947946312235,0,1,1,246,57,7,0,0,0
1740007145.5546122,18.9618359375,83541,55.863176704383754,0,1,1,246,57,7,0,0,0
1740007146.5663965,18.8753125,83708,56.17833696688936,0,1,1,246,57,7,0,0,0
1740007147.577054,18.788984375,83458,56.382837492054946,1,1,1,378,94,9,0,0,0
1740007148.587696,18.706953125,83875,56.74884246989445,1,1,1,378,94,9,0,0,0
1740007149.59835,18.62453125,84042,56.94202320689331,1,1,1,378,94,9,0,0,0
1740007150.608988,18.5426953125,84126,57.222220368733986,1,2,2,399,99,10,0,0,0
1740007151.6196644,18.459296875,84720,57.434303525867705,1,2,2,399,99,10,0,0,0
1740007152.6314626,18.3813671875,85063,57.75295815575139,1,2,2,399,99,10,0,0,0
1740007153.6432798,18.305,85235,58.090982062295076,1,2,2,405,101,10,0,0,0
1740007154.6550953,18.230390625,85409,58.18050873056699,1,2,2,405,101,10,0,0,0
1740007155.6669486,18.1559765625,85757,58.44462561999829,1,2,2,405,101,10,0,0,0
1740007156.678792,18.0794140625,86641,58.60889746392296,1,2,2,420,109,13,0,0,0
1740007157.6906078,17.99953125,86641,58.81656081019401,1,2,2,420,109,13,0,0,0
1740007158.7024965,17.9159375,86730,58.96139268751826,1,2,2,420,109,13,0,0,0
1740007159.7144039,17.8315625,87000,59.09995430138479,1,2,2,387,103,12,0,0,0
1740007160.7262113,17.7469921875,86641,59.28864945976905,1,2,2,387,103,12,0,0,0
1740007161.738105,17.6614453125,87543,59.53377074216865,1,2,2,387,103,12,0,0,0
1740007162.7500305,17.58390625,87543,59.68616092912612,1,2,2,414,110,13,0,0,0
1740007163.760935,17.505390625,87726,59.869903866160946,1,2,2,414,110,13,0,0,0
1740007164.7726634,17.421015625,88651,60.03414413768638,1,2,2,414,110,13,0,0,0
1740007165.7840059,17.3333203125,88186,60.19175897049662,2,2,2,456,123,17,0,0,0
1740007166.7958016,17.25109375,88464,60.34394452267525,2,2,2,456,123,17,0,0,0
1740007167.8075504,17.17609375,89027,60.50981907083863,2,2,2,456,123,17,0,0,0
1740007168.8181922,17.108515625,88558,60.708346422255076,2,3,3,492,134,21,0,0,0
1740007169.8288505,17.0481640625,89216,60.851291986013635,2,3,3,492,134,21,0,0,0
1740007170.8394964,16.9938671875,89027,61.00147709091809,2,3,3,492,134,21,0,0,0
1740007171.8501556,16.9458203125,89692,61.190522689652035,2,3,3,486,132,21,0,0,0
1740007172.8608701,16.900703125,89596,61.380140484354044,2,3,3,486,132,21,0,0,0
1740007173.8726828,16.856171875,89980,61.557351834010134,2,3,3,486,132,21,0,0,0
1740007174.884252,16.8137890625,90366,61.722343045016835,2,3,3,480,132,21,0,0,0
1740007175.8960936,16.77140625,89980,61.89379633980346,2,3,3,480,132,21,0,0,0
1740007176.9080286,16.7309765625,90269,62.07834317948666,2,3,3,480,132,21,0,0,0
1740007177.9198768,16.6923046875,90757,62.256945787621,1,2,2,327,90,16,0,0,0
1740007178.9317179,16.6540234375,90855,62.435750773921754,1,2,2,327,90,16,0,0,0
1740007179.943267,16.615546875,91052,62.614676046845815,1,2,2,327,90,16,0,0,0
1740007180.9547696,16.5794140625,91647,62.77498686101699,1,2,2,309,86,16,0,0,0
1740007181.9664023,16.5419140625,91647,62.947960543011874,1,2,2,309,86,16,0,0,0
1740007182.978022,16.5055859375,91249,63.102115517398005,1,2,2,309,86,16,0,0,0
1740007183.989648,16.473359375,92049,63.28885354376188,1,2,2,324,95,17,0,0,0
1740007185.0009127,16.4430859375,91547,63.47603051241574,1,2,2,324,95,17,0,0,0
1740007186.01502,16.4145703125,92352,63.59972272180757,1,2,2,324,95,17,0,0,0
1740007187.0265262,16.38625,92760,63.704335908897605,1,2,2,309,91,14,0,0,0
1740007188.038155,16.356953125,92352,63.8536291765512,1,2,2,309,91,14,0,0,0
1740007189.0499332,16.3284375,92454,63.95193545220886,1,2,2,309,91,14,0,0,0
1740007190.0617478,16.302265625,93171,64.09543939572917,1,2,2,315,91,15,0,0,0
1740007191.0734558,16.2753125,93274,64.29019650516842,1,2,2,315,91,15,0,0,0
1740007192.0851724,16.2471875,93482,64.49779379143983,1,2,2,315,91,15,0,0,0
1740007193.0969062,16.21984375,93899,64.57729959945567,1,2,2,309,88,15,0,0,0
1740007194.1086404,16.1926953125,93482,64.68896634127077,1,2,2,309,88,15,0,0,0
1740007195.1203182,16.1661328125,94215,64.69157973684138,1,2,2,309,88,15,0,0,0
1740007196.13217,16.1395703125,94639,64.81623630964494,1,1,1,261,75,10,0,0,0
1740007197.1439064,16.1114453125,94427,65.03076312046963,1,1,1,261,75,10,0,0,0
1740007198.155911,16.0837109375,94853,65.12326929822652,1,1,1,261,75,10,0,0,0
1740007199.1677005,16.0575390625,95175,65.15167676608057,1,1,1,219,64,5,0,0,0
1740007200.1794417,16.031953125,94960,65.30249036221501,1,1,1,219,64,5,0,0,0
1740007201.1909497,16.006953125,95175,65.39550226913883,1,1,1,219,64,5,0,0,0
1740007202.2027183,15.984296875,95175,65.47600091176014,1,1,1,213,64,5,0,0,0
1740007203.2144518,15.9628125,93507,65.58248799598051,1,1,1,213,64,5,0,0,0
1740007204.2262032,15.942890625,94188,65.64409862788452,1,1,1,213,64,5,0,0,0
1740007205.238112,15.9223828125,95500,65.60244108076627,1,1,1,225,66,4,0,0,0
1740007206.2495112,15.901875,94188,65.63817235328554,1,1,1,225,66,4,0,0,0
1740007207.2601368,15.881953125,94558,65.79013329374683,1,1,1,225,66,4,0,0,0
1740007208.2707603,15.861640625,94612,65.79364911200784,1,1,1,234,68,5,0,0,0
1740007209.2814226,15.8426953125,94665,65.94585821884769,1,1,1,234,68,5,0,0,0
1740007210.2920341,15.824140625,95417,66.02714735221203,1,1,1,234,68,5,0,0,0
1740007211.3027399,15.808125,95580,66.12822565449922,0,1,1,213,61,4,0,0,0
1740007212.3145113,15.79328125,95040,66.19072151182428,0,1,1,213,61,4,0,0,0
1740007213.32627,15.7805859375,95852,66.26001471061053,0,1,1,213,61,4,0,0,0
1740007214.338074,15.76828125,95689,66.29703847483759,0,0,0,198,56,6,0,0,0
1740007215.3490992,15.7559765625,96017,66.40525207082277,0,0,0,198,56,6,0,0,0
1740007216.3608644,15.74875,96568,66.5660709654307,0,0,0,198,56,6,0,0,0
1740007217.3725333,15.75109375,96292,66.6247164698093,0,0,0,186,52,6,0,0,0
1740007218.384295,15.7676953125,96568,66.64009588651413,0,0,0,186,52,6,0,0,0
1740007219.3960516,15.79328125,96347,66.62438869351004,0,0,0,186,52,6,0,0,0
1740007220.4076796,15.8251171875,97126,66.53833677352905,0,0,0,186,54,5,0,0,0
1740007221.4194455,15.855390625,97182,66.58809555291641,0,0,0,186,54,5,0,0,0
1740007222.4312427,15.88,98089,66.81208308577338,0,0,0,186,54,5,0,0,0
1740007223.4429872,15.8977734375,96735,66.86657652068288,0,0,0,171,52,5,0,0,0
1740007224.454495,15.905,97464,66.80925488636436,0,0,0,171,52,5,0,0,0
1740007225.4662035,15.908125,97747,66.86809205378059,0,0,0,171,52,5,0,0,0
1740007226.4789171,15.9087109375,97918,66.8746655105244,0,0,0,180,54,6,0,0,0
1740007227.4907126,15.908515625,97861,66.87463691152647,0,0,0,180,54,6,0,0,0
1740007228.5024822,15.908125,98147,66.87457971374053,0,0,0,180,54,6,0,0,0
1740007229.5143783,15.907734375,98434,66.90047514529945,0,0,0,180,50,6,0,0,0
1740007230.5261521,15.9126171875,98723,66.99205050423575,0,0,0,180,50,6,0,0,0
1740007231.5380673,15.922578125,98549,66.88318422706269,0,0,0,180,50,6,0,0,0
1740007232.549815,15.934296875,98955,66.94330289916545,0,0,0,180,50,6,0,0,0
1740007233.5615582,15.942890625,98665,66.94456260992257,0,0,0,180,50,6,0,0,0
1740007234.5722003,15.9473828125,98897,67.03610315826299,0,0,0,180,50,6,0,0,0
1740007235.582848,15.9485546875,99482,67.01679706467161,0,0,0,174,50,7,0,0,0
1740007236.59346,15.9469921875,99423,66.99059994710805,0,0,0,174,50,7,0,0,0
1740007237.6040032,15.9438671875,99896,66.93821573535018,0,0,0,174,50,7,0,0,0
1740007238.6147113,15.937421875,100433,66.97621379756882,0,0,0,171,48,7,1,0,0
1740007239.6264956,15.93,100313,66.98810793738762,0,0,0,171,48,7,1,0,0
1740007240.6382742,15.9204296875,99955,67.00617941373434,0,0,0,171,48,7,1,0,0
1740007241.6500487,15.9096875,100433,67.03706557740205,0,0,0,171,48,7,1,0,0
1740007242.6607108,15.89875,100373,67.07442098869673,0,0,0,171,48,7,1,0,0
1740007243.6713738,15.8891796875,100734,67.18993741699853,0,0,0,171,48,7,1,0,0
1740007244.6820166,15.8794140625,100433,67.24048774516606,0,0,0,177,48,4,1,0,0
1740007245.6926389,15.8676953125,101037,67.28426205341626,0,0,0,177,48,4,1,0,0
1740007246.7037416,15.8583203125,101463,67.3218880453891,0,0,0,177,48,4,1,0,0
1740007247.7155275,15.8503125,101402,67.39873943297174,0,1,1,291,77,5,1,0,0
1740007248.7272742,15.843671875,101402,67.45630224703643,0,1,1,291,77,5,1,0,0
1740007249.7390602,15.83546875,101771,67.50714300861853,0,1,1,291,77,5,1,0,0
1740007250.750902,15.82375,102142,67.54446098287508,1,1,1,303,79,6,1,0,0
1740007251.7629545,15.8137890625,101956,67.58855322518262,1,1,1,303,79,6,1,0,0
1740007252.7747042,15.8048046875,101771,67.63279804903804,1,1,1,303,79,6,1,0,0
1740007253.7864923,15.7981640625,102204,67.66437389218407,1,1,1,330,84,6,1,0,0
1740007254.798239,15.789765625,102453,67.70220733755384,1,1,1,330,84,6,1,0,0
1740007255.8094265,15.781171875,102018,67.75304614488854,1,1,1,330,84,6,1,0,0
1740007256.8211997,15.7735546875,103398,67.78449465053185,1,1,1,321,82,6,2,1,0
1740007257.833041,15.7676953125,102892,67.84878961005988,1,1,1,321,82,6,2,1,0
1740007258.8448563,15.7637890625,103081,67.8482125407299,1,1,1,321,82,6,2,1,0
1740007259.856604,15.7606640625,103144,67.87382024098208,1,1,2,321,86,6,2,1,0
1740007260.8684134,15.757734375,103144,68.0103033816637,1,1,2,321,86,6,2,1,0
1740007261.8801863,15.758125,103653,68.04949631611088,1,1,2,321,86,6,2,1,0
1740007262.891962,15.758125,103781,68.03645046941895,1,1,2,321,86,6,2,1,0
1740007263.902654,15.754609375,103973,68.06854606848867,1,1,2,321,86,6,2,1,0
1740007264.913307,15.7503125,103973,68.10705539121419,1,1,2,321,86,6,2,1,0
1740007265.9239793,15.74640625,103845,68.08690332749661,1,1,2,333,88,5,2,1,0
1740007266.9346325,15.7454296875,104296,68.14548462821817,1,1,2,333,88,5,2,1,0
1740007267.944939,15.7477734375,104296,68.19804651707025,1,1,2,333,88,5,2,1,0
1740007268.9567952,15.7489453125,104816,68.2700364516286,1,1,1,327,88,4,1,1,0
1740007269.968629,15.7489453125,104102,68.33534496939004,1,1,1,327,88,4,1,1,0
1740007270.9804265,15.75109375,105474,68.3879253689334,1,1,1,327,88,4,1,1,0
1740007271.9910712,15.7536328125,104881,68.41443818355854,1,1,2,360,97,4,1,1,0
1740007273.001709,15.7565625,105276,68.40833929068775,1,1,2,360,97,4,1,1,0
1740007274.0123472,15.7555859375,105408,68.42779747121392,1,1,2,360,97,4,1,1,0
1740007275.02299,15.755390625,105210,68.44083830121396,1,1,2,348,95,5,1,1,0
1740007276.033711,15.7575390625,105673,68.44115764790799,1,1,2,348,95,5,1,1,0
1740007277.0448592,15.761640625,105806,68.46137381493189,1,1,2,348,95,5,1,1,0
1740007278.055943,15.7628125,105872,68.46154805254149,1,1,1,246,72,4,1,1,0
1740007279.0671735,15.7657421875,106006,68.4815920694384,1,1,1,246,72,4,1,1,0
1740007280.078947,15.7708203125,105939,68.50849487578529,1,1,1,246,72,4,1,1,0
1740007281.0907898,15.776484375,105939,68.5224126505932,0,1,1,240,70,3,1,1,0
1740007282.1024938,15.7805859375,106006,68.5360989706548,0,1,1,240,70,3,1,1,0
1740007283.1143355,15.7837109375,106678,68.53656407155574,0,1,1,240,70,3,1,1,0
1740007284.1261556,15.7868359375,106476,68.5304910334377,0,0,1,228,65,2,1,1,0
1740007285.1379905,15.7907421875,106882,68.52453442170109,0,0,1,228,65,2,1,1,0
1740007286.149719,15.7969921875,106746,68.4993143971134,0,0,1,228,65,2,1,1,0
1740007287.1603818,15.803828125,107086,68.48725756644848,0,0,0,222,63,1,0,0,0
1740007288.1710262,15.8118359375,107223,68.50806074656973,0,0,0,222,63,1,0,0,0
1740007289.183331,15.820625,107223,68.50283145622596,0,0,0,222,63,1,0,0,0
1740007290.1939707,15.828828125,107634,68.53674241916573,0,1,1,243,70,2,0,0,0
1740007291.204627,15.835859375,108468,68.5247127720659,0,1,1,243,70,2,0,0,0
1740007292.2164445,15.8411328125,107842,68.51895991519442,0,1,1,243,70,2,0,0,0
1740007293.2282915,15.8462109375,107703,68.52625424374915,0,1,1,255,72,2,0,0,0
1740007294.2405586,15.8493359375,108398,68.55941360909169,0,1,1,255,72,2,0,0,0
1740007295.2512188,15.8503125,108678,68.51378886446352,0,1,1,255,72,2,0,0,0
1740007296.2618597,15.8516796875,107842,68.52706868713962,0,0,0,237,68,3,0,0,0
1740007297.2724361,15.8563671875,108328,68.55392189293111,0,0,0,237,68,3,0,0,0
1740007298.2830644,15.863203125,108678,68.56147970299129,0,0,0,237,68,3,0,0,0
1740007299.293801,15.8696484375,109528,68.58205953700565,0,0,0,225,64,3,0,0,0
1740007300.3055005,15.8747265625,108049,68.58935669940803,0,0,0,225,64,3,0,0,0
1740007301.3172872,15.8790234375,108960,68.66195379116722,0,0,0,225,64,3,0,0,0
1740007302.3288991,15.881953125,109243,68.61005618777753,0,0,0,204,59,6,0,0,0
1740007303.340784,15.881953125,109742,68.61659732139243,0,0,0,204,59,6,0,0,0
1740007304.3525262,15.8829296875,110246,68.60366086196902,0,0,0,204,59,6,0,0,0
1740007305.3643184,15.8825390625,109456,68.60360261884438,0,0,0,204,59,5,0,0,0
1740007306.37606,15.881953125,110102,68.62313865553806,0,0,0,204,59,5,0,0,0
1740007307.3872266,15.8809765625,109243,68.66224517630582,0,0,0,204,59,5,0,0,0
1740007308.3991342,15.8774609375,109599,68.67480627271114,0,0,0,183,52,5,0,0,0
1740007309.4124076,15.8723828125,110391,68.67404861598136,0,0,0,183,52,5,0,0,0
1740007310.4240372,15.8680859375,110609,68.6930371531713,0,0,0,183,52,5,0,0,0
1740007311.4357884,15.861640625,110102,68.69207543608297,0,0,0,198,54,6,0,0,0
1740007312.4475698,15.8534375,110536,68.71048249498887,0,0,0,198,54,6,0,0,0
1740007313.4593527,15.8466015625,110463,68.73563960117664,0,0,0,198,54,6,0,0,0
1740007314.4712615,15.838984375,110900,68.76068282346279,0,0,0,183,54,7,0,0,0
1740007315.4830265,15.83078125,110681,68.79873391326474,0,0,0,183,54,7,0,0,0
1740007316.494841,15.822578125,110827,68.88917893528021,0,0,0,183,54,7,0,0,0
1740007317.50484,15.812421875,112233,68.94006079022476,0,0,0,177,52,7,0,0,0
1740007318.5154862,15.797578125,111341,69.04267696776942,0,0,0,177,52,7,0,0,0
1740007319.5261352,15.7837109375,111637,69.11926042963043,0,0,0,177,52,7,0,0,0
1740007320.5367496,15.7700390625,111860,69.0582180516613,0,0,0,144,41,6,0,0,0
1740007321.5474498,15.7587109375,112684,68.96478664790203,0,0,0,144,41,6,0,0,0
1740007322.5593464,15.7503125,112308,68.91767853755735,0,0,0,144,41,6,0,0,0
1740007323.57112,15.74328125,111637,68.70714230647525,0,0,0,153,45,7,0,0,0
1740007324.5828571,15.7387890625,112233,68.60180758320485,0,0,0,153,45,7,0,0,0
1740007325.5946484,15.73546875,112458,68.58169440427729,0,0,0,153,45,7,0,0,0
1740007326.605888,15.7325390625,112458,68.56818018210848,0,0,0,180,54,6,0,0,0
1740007327.616578,15.73,112609,68.56780237452838,0,0,0,180,54,6,0,0,0
1740007328.627221,15.7274609375,113063,68.5674245790438,0,0,0,180,54,6,0,0,0
1740007329.6378095,15.7239453125,112609,68.60613802553691,0,0,0,201,58,7,0,0,0
1740007330.6484807,15.720234375,113292,68.65137049224401,0,0,0,201,58,7,0,0,0
1740007331.660335,15.7161328125,113063,68.63767745159402,0,0,0,201,58,7,0,0,0
1740007332.6722028,15.711640625,113292,68.67625767847758,0,0,0,207,58,4,0,0,0
1740007333.6839643,15.70734375,113139,68.74104837142889,0,0,0,207,58,4,0,0,0
1740007334.6957395,15.700703125,114683,68.79241717446313,0,0,0,207,58,4,0,0,0
1740007335.7076855,15.6946484375,112836,68.92901505423441,1,1,1,228,65,5,0,0,0
1740007336.7194705,15.6895703125,113829,69.00686776939148,1,1,1,228,65,5,0,0,0
1740007337.7312734,15.68390625,113675,69.10432483598956,1,1,1,228,65,5,0,0,0
1740007338.7430634,15.6786328125,113598,69.11664660978059,1,1,1,258,74,8,1,0,0
1740007339.7549016,15.672578125,114839,69.06330474077406,1,1,1,258,74,8,1,0,0
1740007340.7666473,15.663984375,114060,69.1472347212327,1,1,1,258,74,8,1,0,0
1740007341.7784822,15.65578125,114449,69.26405137090835,1,1,1,282,85,7,1,0,0
1740007342.7902527,15.6497265625,114449,69.47315858904285,1,1,1,282,85,7,1,0,0
1740007343.802115,15.6434765625,114527,69.51162078848995,1,1,1,282,85,7,1,0,0
1740007344.813984,15.6387890625,114918,69.46495139512595,1,1,1,276,83,7,1,0,0
